file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-17-11-54-22_4yyjaai4k6,"[{""page_index"":0,""viewing_time"":1327.335000038147},{""page_index"":1,""viewing_time"":670.97500001546},{""page_index"":2,""viewing_time"":856.5599999856204}]",2855.240000062622,instructions,0,2981,0.0-0.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,joint,NA,NA,NA,NA
data_2020-07-17-11-54-22_4yyjaai4k6,NA,573.7199999857694,html-button-response,1,3557,0.0-0.0-0.0-2.0-0.0,aggregation_exp2,prolific,absent,naive,joint,You will now see the projects.,0,NA,NA
data_2020-07-17-11-54-22_4yyjaai4k6,NA,4821.809999994002,survey-multi-choice,2,8384,0.0-0.0-0.0-4.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,joint,NA,NA,"{""oil-well_140_240_0.55"":""Yes"",""microchip_170_240_0.45"":""Yes"",""record-deal_200_240_0.3"":""Yes"",""shipping-logistics_120_240_0.6"":""Yes"",""restaurant-chain_110_240_0.7"":""Yes"",""national-newspaper_180_240_0.35"":""Yes"",""pharmaceutical_150_240_0.55"":""Yes"",""railway_140_240_0.6"":""Yes"",""GMO_130_240_0.6"":""Yes"",""high-rise-construction_100_240_0.75"":""Yes""}","[0,9,6,8,2,1,3,7,5,4]"
