file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,condition_distribution,condition_awareness,condition_presentation,responses,question_order
data_2020-07-13-11-13-54_9jbf57q13d,"[{""page_index"":0,""viewing_time"":2302.6849999996557},{""page_index"":1,""viewing_time"":472.07500000058644},{""page_index"":2,""viewing_time"":495.18499999976484},{""page_index"":3,""viewing_time"":663.6300000000119}]",3933.8950000001205,instructions,0,3977,0.0-0.0-0.0,aggregation_exp2,prolific,absent,naive,joint,NA,NA
data_2020-07-13-11-13-54_9jbf57q13d,NA,954.7749999992448,survey-multi-choice,1,4934,0.0-0.0-2.0-0.0,aggregation_exp2,prolific,absent,naive,joint,"{""Q0"":""Yes""}",[0]
