file_id,view_history,rt,stage,trial_type,trial_index,time_elapsed,internal_node_id,subject,experiment,sample,distribution,awareness,presentation,stimulus,button_pressed,responses,question_order
data_2020-07-27-11-19-02_2wzvwyrnof,"[{""page_index"":0,""viewing_time"":1522.6999999867985},{""page_index"":1,""viewing_time"":550.825000012992},{""page_index"":2,""viewing_time"":519.9699999939185}]",2593.894999998156,instructions,instructions,0,2597,0.0-0.0-0.0-0.0,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,NA,NA
data_2020-07-27-11-19-02_2wzvwyrnof,NA,1141.6800000006333,awareness,html-button-response,1,3741,0.0-0.0-0.0-1.0-0.0,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,You will now see the projects.,0,NA,NA
data_2020-07-27-11-19-02_2wzvwyrnof,NA,909.2800000071293,project_choice,survey-multi-choice,2,4653,0.0-0.0-0.0-4.0-0.0-0.0-0.0,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_140_240_0.55"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,739.995000010822,project_choice,survey-multi-choice,3,5402,0.0-0.0-0.0-4.0-0.0-0.0-0.1,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_110_240_0.65"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,731.5450000023702,project_choice,survey-multi-choice,4,6140,0.0-0.0-0.0-4.0-0.0-0.0-0.2,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_100_240_0.75"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,2240.105000004405,project_choice,survey-multi-choice,5,8388,0.0-0.0-0.0-4.0-0.0-0.0-0.3,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_100_240_0.7"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,1016.1800000059884,project_choice,survey-multi-choice,6,9412,0.0-0.0-0.0-4.0-0.0-0.0-0.4,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_190_240_0.35"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,832.0149999926798,project_choice,survey-multi-choice,7,10252,0.0-0.0-0.0-4.0-0.0-0.0-0.5,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_130_240_0.65"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,913.2749999989755,project_choice,survey-multi-choice,8,11173,0.0-0.0-0.0-4.0-0.0-0.0-0.6,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_110_240_0.7"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,1268.1650000013178,project_choice,survey-multi-choice,9,12448,0.0-0.0-0.0-4.0-0.0-0.0-0.7,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_180_240_0.35"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,1039.5950000092853,project_choice,survey-multi-choice,10,13493,0.0-0.0-0.0-4.0-0.0-0.0-0.8,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_200_240_0.3"":""Yes""}",[0]
data_2020-07-27-11-19-02_2wzvwyrnof,NA,1105.5500000074971,project_choice,survey-multi-choice,11,14605,0.0-0.0-0.0-4.0-0.0-0.0-0.9,hmm1bberk3h42f0,aggregation_exp2,prolific,absent,naive,separate,NA,NA,"{""oil-well_180_240_0.4"":""Yes""}",[0]
