file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,condition_distribution,condition_awareness,condition_presentation,responses,question_order
data_2020-07-13-10-22-15_lgvrhzicnj,"[{""page_index"":0,""viewing_time"":1864.619999999377},{""page_index"":1,""viewing_time"":719.5499999997992},{""page_index"":2,""viewing_time"":663.3700000002136},{""page_index"":3,""viewing_time"":619.1200000002937}]",3867.189999999937,instructions,0,3997,0.0-0.0-0.0,aggregation_exp2,prolific,present,aware,joint,NA,NA
data_2020-07-13-10-22-15_lgvrhzicnj,NA,2271.1600000002363,survey-multi-choice,1,6270,0.0-0.0-1.0-0.0,aggregation_exp2,prolific,present,aware,joint,"{""Q0"":""No""}",[0]
