file_id,view_history,rt,trial_type,trial_index,time_elapsed,internal_node_id,experiment,sample,condition_distribution,condition_awareness,condition_presentation,stimulus,button_pressed,responses,question_order
data_2020-07-13-18-02-04_yqqfqbqdsb,"[{""page_index"":0,""viewing_time"":2369.9650000016845},{""page_index"":1,""viewing_time"":1450.1199999976961},{""page_index"":2,""viewing_time"":1136.2950000002456},{""page_index"":3,""viewing_time"":1068.8250000021071}]",6025.775000001886,instructions,0,6091,0.0-0.0-0.0,aggregation_exp2,prolific,present,aware,joint,NA,NA,NA,NA
data_2020-07-13-18-02-04_yqqfqbqdsb,NA,2170.17499999929,html-button-response,1,8262,0.0-0.0-1.0-0.0,aggregation_exp2,prolific,present,aware,joint,You will now see the 10 projects.,0,NA,NA
data_2020-07-13-18-02-04_yqqfqbqdsb,NA,9857.529999997496,survey-multi-choice,2,18121,0.0-0.0-3.0-0.0-0.0,aggregation_exp2,prolific,present,aware,joint,NA,NA,"{""oil-well_140_240_0.55"":""Yes"",""microchip_170_240_0.45"":""Yes"",""record-deal_200_240_0.3"":""Yes"",""shipping-logistics_120_240_0.6"":""Yes"",""restaurant-chain_110_240_0.7"":""Yes"",""national-newspaper_180_240_0.35"":""Yes"",""pharmaceutical_150_240_0.55"":""Yes"",""railway_140_240_0.6"":""Yes"",""GMO_130_240_0.6"":""Yes"",""high-rise-construction_100_240_0.75"":""Yes""}","[0,1,2,3,4,5,6,7,8,9]"
