session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5fcd68c77d7f5ec9c44ea751,5d49e8d85e7f490018a17ea8,RETURNED,2020-12-06 23:29:17.754000,,3028573.099623,40,471,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fcd69c7cea48221700ed5e7,5cfac687bdac0f001748fe4e,APPROVED,2020-12-06 23:31:23.379000,2020-12-06 23:40:11.399000,528.02,34,161,0,100,2020-12-07 02:59:09.890000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5fcd6a93d8b47621e8871d03,586408326e2f8d00015c555e,TIMED-OUT,2020-12-06 23:34:50.057000,,3028241.040401,32,59,0,100,,,United States,New Zealand,Part-Time,English,United States,Female,No
5fcd6bf981b544c82c06c64c,5fcd24ad1356ebbfd58baa51,APPROVED,2020-12-06 23:40:51.453000,2020-12-06 23:49:10.790000,499.337,33,96,1,100,2020-12-07 02:59:14.363000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Female,Yes
5fcd6c5a0990d4c7b02bf12f,5fcd2a4f948126c105adc9f0,APPROVED,2020-12-06 23:42:37.710000,2020-12-07 00:04:08.088000,1290.378,63,70,0,100,2020-12-07 02:59:17.258000,8256C4AC,United States,United States,Other,DATA EXPIRED,United States,Female,No
5fcd6ca30990d4c73937ccb2,5f9c88110517c614f589eec6,RETURNED,2020-12-06 23:43:36.694000,,3027714.853375,34,57,0,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fcd6dd1c2bd43ca75d0f8f0,58cbd0a55d42920001414dd3,APPROVED,2020-12-06 23:51:35.199000,2020-12-07 00:04:26.430000,771.231,31,1067,0,100,2020-12-07 02:59:20.392000,8256C4AC,United States,United States,Unemployed (and job seeking),English,United States,Male,No
5fcd6e959fd435cb528f4bc6,5e83ac27d1da850b6b444805,APPROVED,2020-12-06 23:51:56.968000,2020-12-07 00:07:41.657000,944.689,55,196,1,100,2020-12-07 02:59:27.280000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5fcd6e9f4d93b7c9ee0b639f,5d35e83d4dc1130016671679,RETURNED,2020-12-06 23:52:01.945000,,3027210.105683,31,288,6,97,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fcd6eb6aae247cab88bcacb,5fcaa3f3d991a9748f8b9e1c,RETURNED,2020-12-06 23:52:26.974000,,3027185.076874,47,46,1,98,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fcd6f1a27fabfc5e5e59f75,57309f6b30a556000fecdd47,APPROVED,2020-12-06 23:54:31.819000,2020-12-06 23:59:26.807000,294.988,40,762,1,100,2020-12-07 02:59:30.657000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5fcd6fd37710cccbf73c0b1c,5dc6263fc34fc547cb529cb7,APPROVED,2020-12-06 23:57:09.719000,2020-12-07 00:04:59.308000,469.589,35,299,2,100,2020-12-07 02:59:35.936000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5fcd710d5ec5b5230db4d754,5fcac27c64514e7530482d6b,TIMED-OUT,2020-12-07 00:02:24.398000,,3026588.363692,32,32,0,100,,,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No
5fcd7b26bf2b07c8928df419,5e32cbad3db17e2868d1f41e,APPROVED,2020-12-07 00:45:34.639000,2020-12-07 00:54:55.494000,560.855,36,637,0,100,2020-12-07 02:59:39.839000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5fcd7b7c6a7182cba7a59139,5e3183858dc31216f16b2735,APPROVED,2020-12-07 00:46:54.835000,2020-12-07 00:51:02.717000,247.882,31,32,2,94,2020-12-07 02:59:44.969000,8256C4AC,United States,United States,Full-Time,English,United States,Male,Yes
5fcd7ea53e9eb3cc506f9890,5fc5c8cd0ddd731579639c07,APPROVED,2020-12-07 01:00:27.037000,2020-12-07 01:07:06.190000,399.153,36,81,0,100,2020-12-07 02:59:49.236000,8256C4AC,United States,United States,Part-Time,DATA EXPIRED,United States,Male,No
5fcdecb0274ca02d39c17824,5e8b85a7844ed6068d8debf5,REJECTED,2020-12-07 08:49:52.737000,2020-12-07 08:59:30.834000,578.097,44,324,4,97,2020-12-15 00:17:01.119000,8256C4AC,Poland,Poland,Part-Time,Polish,United States,Male,No
5fcdecbc6aa957d202f9c7c5,5ca229d63861e700154363bd,APPROVED,2020-12-07 08:50:07.538000,2020-12-07 08:56:46.324000,398.786,38,797,0,100,2020-12-07 21:32:52.673000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5fcdecc84a09c22ca785653b,56c3ee7411e094000dd4654d,APPROVED,2020-12-07 08:50:16.109000,2020-12-07 09:00:41.567000,625.458,56,473,0,100,2020-12-07 21:32:59.270000,8256C4AC,United States,United States,Other,English,United States,Female,No
5fcdecd37283d32d02d04c5f,5fbcb76589be6a1884d51692,RETURNED,2020-12-07 08:50:48.886000,2020-12-07 09:09:18.549000,1109.663,31,80,2,97,,8256C4AC,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fcdecf2967d8bd13cf7febe,5ea9d17ebd3d1011e05655e2,APPROVED,2020-12-07 08:51:01.974000,2020-12-07 08:56:15.003000,313.029,38,412,1,100,2020-12-07 21:33:03.676000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5fcdecf9113571d5ff4c7a95,5f5353ff017c5965165df065,APPROVED,2020-12-07 08:51:05.363000,2020-12-07 09:09:08.650000,1083.287,35,240,0,100,2020-12-07 21:33:08.220000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Female,No
5fcded09b2ab80d172b5390a,5bc2c49f83f9420001011bf8,APPROVED,2020-12-07 08:51:28.551000,2020-12-07 09:02:32.381000,663.83,53,930,7,99,2020-12-07 21:33:12.207000,8256C4AC,United States,United States,Full-Time,English,United States,Male,Yes
5fcded1327fabfd17611a55d,5ece399f27a62b0243bc408c,RETURNED,2020-12-07 08:51:35.089000,,2994840.255766,32,152,1,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5fcded15239558d2128257ae,5ede3d2ef7c9f9068776c4d2,APPROVED,2020-12-07 08:51:36.656000,2020-12-07 09:07:33.500000,956.844,53,436,1,100,2020-12-07 21:33:18.852000,8256C4AC,Germany,United States,Full-Time,German,United States,Male,No
5fcded1a79e4a6d5564f95be,5eeb68f4cb7151272e845667,APPROVED,2020-12-07 08:51:47.666000,2020-12-07 09:03:47.183000,719.517,34,235,1,100,2020-12-07 21:33:23.455000,8256C4AC,DATA EXPIRED,United States,DATA EXPIRED,DATA EXPIRED,United States,Female,DATA EXPIRED
5fcdedab4edd66d5e5b4fb84,5f0f4e13c502bb0d48bd0a67,RETURNED,2020-12-07 08:54:03.374000,,2994692.305355,41,388,2,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
