session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,num_approvals,num_rejections,prolific_score,reviewed_at_datetime,entered_code,Country of Birth,Current Country of Residence,Employment Status,First Language,Nationality,Sex,Student Status
5ff1885e1976285c599f7b40,5f7760940b8f6227fccdf115,APPROVED,2021-01-03 09:03:26.736000,2021-01-03 09:14:28.425000,661.689,37,129,0,100,2021-01-05 23:03:41.072000,8256C4AC,United States,Portugal,Full-Time,DATA EXPIRED,United States,Male,No
5ff188645474cd5b908f24f5,5e96d0eefea475161115aba9,APPROVED,2021-01-03 09:03:32.302000,2021-01-03 09:45:44.394000,2532.092,30,449,7,98,2021-01-05 23:03:45.987000,8256C4AC,United States,United States,Full-Time,English,United States,Male,No
5ff1886b0a5e7f5ecad6165f,5f53d4f0d3e03471e4eb4847,APPROVED,2021-01-03 09:03:39.592000,2021-01-03 09:16:42.865000,783.273,41,295,4,98,2021-01-05 23:03:51.970000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff1887126fd080ebc011d83,5f485110eae1181f66370df8,APPROVED,2021-01-03 09:03:45.962000,2021-01-03 09:24:52.091000,1266.129,59,283,2,100,2021-01-05 23:03:58.024000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",DATA EXPIRED,United States,Male,No
5ff188757e067a57d19901a0,5fab430aab732162639e71f1,APPROVED,2021-01-03 09:03:49.509000,2021-01-03 09:10:20.173000,390.664,33,89,0,100,2021-01-05 23:04:03.502000,NOCODE,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
5ff18878ebe5920e010888f8,5c616465b672de0001fd3ac6,RETURNED,2021-01-03 09:03:56.135000,,657880.846101,43,1055,3,100,,,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED,CONSENT REVOKED
5ff1887eb890b10f9ebf5d8f,5ea7354010445c10f3fd44a4,APPROVED,2021-01-03 09:04:25.110000,2021-01-03 09:16:45.912000,740.802,37,392,2,100,2021-01-05 23:04:08.091000,8256C4AC,United States,Portugal,Part-Time,English,United States,Male,No
5ff18891c274b35bd97d82a1,5f96d56167974f0510b66dc7,APPROVED,2021-01-03 09:04:17.765000,2021-01-03 09:36:13.137000,1915.372,31,145,0,100,2021-01-05 23:04:14.259000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Female,No
5ff188a22178d15ce644fc11,5dbd3613d54c4929d11b8117,TIMED-OUT,2021-01-03 09:04:37.802000,,657839.65864,30,676,0,100,,,United States,United States,Unemployed (and job seeking),English,United States,Male,No
5ff188a4c923955e2bc25633,5e121b2b82a955890a9b3484,APPROVED,2021-01-03 09:04:36.514000,2021-01-03 09:27:20.696000,1364.182,53,574,1,100,2021-01-05 23:04:25.680000,8256C4AC,United States,United States,"Not in paid work (e.g. homemaker', 'retired or disabled)",English,United States,Female,No
5ff188a4bf7c825cfe21677a,570758d5374137000fbb68cd,APPROVED,2021-01-03 09:04:36.813000,2021-01-03 09:19:50.480000,913.667,43,685,3,100,2021-01-05 23:04:19.210000,8256C4AC,United States,United States,Full-Time,English,United States,Female,No
5ff188a74cfb7d0fa7d85129,5fb090f5bc045b492643352d,APPROVED,2021-01-03 09:04:49.760000,2021-01-03 09:18:51.830000,842.07,39,119,0,100,2021-01-05 23:04:31.910000,8256C4AC,United States,United States,Part-Time,DATA EXPIRED,United States,Female,No
5ff188aae6b2815e6a7bedd2,5f4a0168c53d365702393870,APPROVED,2021-01-03 09:11:51.526000,2021-01-03 09:15:10.877000,199.351,38,91,0,100,2021-01-05 23:04:36.566000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Male,No
5ff188c3b9b6090f46c0fce9,5f8b066742a6381ddae03d75,APPROVED,2021-01-03 09:05:07.508000,2021-01-03 09:20:38.351000,930.843,34,132,2,98,2021-01-05 23:04:40.534000,8256C4AC,United States,United States,Unemployed (and job seeking),DATA EXPIRED,United States,Male,No
5ff188e393786110109a0980,5f92f71d8b293e05a770244b,APPROVED,2021-01-03 09:05:53.788000,2021-01-03 09:41:17.492000,2123.704,30,106,3,99,2021-01-05 23:04:45.153000,8256C4AC,United States,United States,Full-Time,DATA EXPIRED,United States,Female,Yes
